important_econ,important_gayr,educ,birthyr,pol_interest,pid3,unimportant_budget,unimportant_abort,gender
1,1,5,1931,3,1,4,2,1
1,2,3,1952,3,2,4,4,1
1,4,2,1931,3,1,3,1,1
1,2,3,1959,3,3,4,1,1
1,3,5,1952,3,2,4,3,2
1,1,4,1939,3,1,2,4,1
1,3,6,1959,3,1,4,1,1
1,3,2,1944,3,2,4,2,1
1,2,5,1969,2,1,1,3,2
1,1,3,1961,3,1,2,4,2
1,2,6,1948,3,1,3,3,1
1,1,5,1951,3,1,4,4,2
1,4,3,1968,3,2,4,2,2
2,1,6,1963,3,1,3,3,1
1,2,6,1947,3,1,3,4,2
1,1,5,1956,3,1,3,4,1
1,1,5,1960,3,1,2,1,1
1,4,5,1958,2,2,3,1,2
1,2,5,1942,3,1,4,2,2
1,3,3,1983,3,1,3,2,2
1,2,6,1962,3,2,4,1,2
1,2,3,1945,2,1,3,1,1
1,3,5,1951,3,2,4,2,1
1,4,5,1975,3,3,3,1,1
1,3,5,1961,3,2,4,2,2
1,1,5,1961,3,3,4,4,2
1,2,3,1953,3,2,4,3,1
1,2,5,1947,2,1,3,2,2
1,4,3,1948,3,2,4,3,1
1,4,5,1960,3,3,3,1,2
1,3,5,1956,2,2,4,2,2
1,4,2,1951,3,2,4,4,1
1,4,2,1939,3,2,4,4,1
2,3,6,1952,3,2,3,2,2
1,1,2,1963,3,1,4,4,2
1,3,6,1962,3,2,4,2,1
1,1,4,1942,3,2,4,4,1
1,4,3,1960,3,2,4,3,2
1,3,5,1948,3,1,2,1,2
1,1,3,1957,3,1,3,4,2
1,1,2,1939,3,3,4,4,2
1,4,4,1950,3,2,4,2,1
1,4,4,1952,3,2,4,3,2
1,4,3,1968,3,2,4,4,2
1,4,5,1968,3,2,4,3,2
2,4,2,1972,1,2,,3,2
1,4,5,1974,3,1,1,4,2
1,4,3,1952,3,1,3,1,1
1,2,2,1925,3,2,4,4,2
1,4,6,1950,3,2,3,2,1
1,2,5,1933,3,1,4,4,2
2,4,4,1958,2,1,1,1,1
1,1,4,1950,3,1,3,4,2
1,4,2,1950,3,2,4,1,2
1,4,2,1963,3,2,4,4,1
1,4,3,1972,3,2,4,3,1
1,1,5,1940,3,1,3,4,2
2,1,5,1958,2,1,3,4,1
1,2,6,1954,3,1,4,3,1
1,2,6,1961,3,1,4,3,2
2,2,5,1980,3,1,3,3,2
1,3,6,1955,3,3,4,2,2
1,3,5,1972,3,2,4,3,2
1,4,6,1970,3,2,4,4,1
1,2,6,1950,3,1,2,3,2
1,4,5,1934,3,1,4,2,1
1,3,2,1941,3,3,4,3,1
1,3,6,1954,3,3,3,1,1
1,1,4,1962,3,1,3,3,2
1,3,4,1952,3,1,3,1,1
1,1,5,1952,2,1,2,3,2
1,1,5,1961,3,1,3,3,2
2,1,3,1974,2,1,2,2,1
1,1,5,1955,3,2,4,1,1
5,5,3,1948,3,2,5,5,1
1,1,4,1976,3,1,4,4,2
1,2,6,1944,2,1,3,2,1
1,1,5,1954,3,3,4,1,1
1,2,6,1954,2,1,4,4,1
1,4,6,1950,3,2,4,4,1
1,1,5,1950,3,1,2,4,1
1,3,3,1941,3,2,4,3,1
1,3,3,1940,2,1,3,3,1
1,4,6,1963,2,3,4,1,1
1,4,6,1961,3,1,3,1,1
1,2,6,1967,3,2,4,4,1
1,4,2,1957,3,2,3,2,1
1,2,6,1980,3,,1,3,1
1,4,2,1961,3,1,4,1,2
1,4,6,1965,3,2,4,4,2
1,1,5,1969,3,1,2,4,1
1,4,6,1958,3,2,4,4,2
1,4,3,1957,3,2,4,1,2
,,5,1936,3,1,2,2,2
1,3,5,1954,3,2,4,2,1
1,4,6,1954,3,1,4,1,2
2,1,3,1969,3,1,1,2,1
1,4,6,1952,3,1,3,1,1
1,1,6,1944,2,1,3,4,2
1,1,5,1956,3,1,2,1,1
1,1,6,1953,3,1,2,3,2
1,1,5,1955,3,1,4,4,2
1,2,3,1955,3,3,3,3,2
1,2,2,1928,3,3,4,3,2
2,3,5,1986,3,2,3,4,2
1,4,5,1950,3,1,4,1,2
1,3,6,1952,3,1,3,2,2
2,1,1,1959,3,1,2,4,1
1,1,3,1957,3,1,2,2,2
1,4,5,1953,3,2,4,4,2
1,1,6,1970,2,1,3,2,2
1,3,5,1963,2,1,4,2,2
1,3,2,1946,3,1,4,4,2
1,1,3,1956,3,1,3,3,1
1,3,4,1965,3,2,4,2,2
1,3,5,1980,3,2,4,1,2
1,4,2,1954,3,2,4,3,2
1,2,3,1985,3,2,4,2,1
1,4,3,1983,3,2,4,4,1
1,2,6,1972,3,3,2,2,1
1,1,3,1959,3,2,4,4,1
1,3,3,1970,3,1,4,1,1
1,1,3,1937,3,1,4,1,1
1,4,6,1970,3,1,3,1,2
1,2,5,1959,3,2,4,2,1
1,3,3,1954,3,2,4,3,1
1,2,3,1949,2,1,3,4,2
1,1,6,1960,3,1,3,2,1
1,4,5,1982,3,2,4,2,1
1,1,5,1972,2,1,4,1,2
1,2,4,1962,3,1,4,3,1
1,4,5,1935,3,2,4,4,1
1,3,3,1949,2,1,3,2,1
1,1,6,1952,3,1,3,4,2
2,3,6,1956,3,1,3,3,2
1,3,5,1968,3,2,4,3,1
1,1,2,1963,3,2,4,3,1
1,1,6,1945,3,1,4,4,1
2,3,3,1990,2,2,3,4,2
2,4,3,1956,2,1,3,1,2
1,4,6,1959,3,2,4,2,2
1,3,3,1971,3,3,4,4,1
1,4,6,1970,3,2,4,2,1
1,1,3,1959,3,1,4,3,2
1,2,5,1955,3,2,4,3,2
1,2,6,1970,3,1,4,1,2
1,4,6,1962,3,2,4,1,2
1,3,5,1968,2,1,4,2,2
1,2,5,1956,3,1,3,4,1
1,1,3,1987,2,1,3,3,2
1,4,6,1945,3,2,4,3,2
1,1,5,1965,3,1,3,2,1
1,4,6,1955,3,2,4,2,1
1,3,2,1949,2,1,3,2,1
1,4,2,1965,3,2,4,2,2
1,4,3,1957,3,3,4,2,1
1,3,5,1955,3,3,4,4,2
1,4,5,1951,2,2,4,2,1
1,1,3,1940,3,3,4,1,2
1,1,5,1981,3,1,4,4,2
1,3,5,1981,2,2,4,3,1
1,3,2,1944,3,1,4,4,2
1,3,4,1961,2,1,4,4,1
1,2,3,1954,2,1,3,3,2
1,4,3,1966,3,2,4,4,2
1,3,3,1962,3,1,3,3,2
